,release_date,release_year,title,genre,prod_method,creative_type,budget,dom_gross,int_gross,world_gross,release_month
774,2017-10-20,2017,Geostorm,Action,Live Action,Science Fiction,100000000,33700160,187095849,220796009.0,October
775,2017-01-13,2017,Monster Trucks,Adventure,Animation/Live Action,Science Fiction,125000000,33370166,28272632,61642798.0,January
776,2017-02-17,2017,Fist Fight,Comedy,Live Action,Contemporary Fiction,25000000,32187017,8099399,40286416.0,February
777,2017-04-28,2017,How to Be a Latin Lover,Comedy,Live Action,Contemporary Fiction,10000000,32149404,30406824,62556228.0,April
778,2017-08-04,2017,Kidnap,Thriller/Suspense,Live Action,Contemporary Fiction,21000000,30718107,4117973,34836080.0,August
779,2017-01-06,2017,Underworld: Blood Wars,Action,Live Action,Fantasy,35000000,30353973,50855249,81209222.0,January
780,2017-10-06,2017,The Mountain Between Us,Thriller/Suspense,Live Action,Contemporary Fiction,0,30348555,32268992,62617547.0,October
781,2017-03-24,2017,Life,Thriller/Suspense,Live Action,Science Fiction,58000000,30234022,70695644,100929666.0,March
782,2017-12-08,2017,"I, Tonya",Black Comedy,Live Action,Dramatization,11000000,30014534,23782875,53797409.0,December
783,2017-12-22,2017,Hostiles,Western,Live Action,Historical Fiction,50000000,29819114,5662827,35481941.0,December
784,2017-12-25,2017,Mollyâs Game,Drama,Live Action,Dramatization,30000000,28780744,24515680,53296424.0,December
785,2017-08-11,2017,The Nut Job 2: Nutty by Nature,Adventure,Digital Animation,Kids Fiction,40000000,28370522,29067867,57438389.0,August
786,2017-02-03,2017,Rings,Horror,Live Action,Contemporary Fiction,25000000,27793018,55124265,82917283.0,February
787,2017-08-18,2017,Logan Lucky,Comedy,Live Action,Contemporary Fiction,29000000,27778642,16485629,44264271.0,August
788,2017-09-08,2017,Home Again,Romantic Comedy,Live Action,Contemporary Fiction,15000000,27020284,10316590,37336874.0,September
789,2017-01-27,2017,Resident Evil: The Final Chapter,Horror,Live Action,Science Fiction,40000000,26844692,287256498,314101190.0,January
790,2017-06-30,2017,The House,Comedy,Live Action,Contemporary Fiction,40000000,25584504,5607921,31192425.0,June
791,2017-12-25,2017,All the Money in the World,Thriller/Suspense,Live Action,Dramatization,50000000,25106325,31784324,56890649.0,December
792,2017-04-07,2017,Gifted,Drama,Live Action,Contemporary Fiction,7000000,24801212,12163444,36964656.0,April
793,2017-12-22,2017,Downsizing,Comedy,Live Action,Science Fiction,68000000,24449754,30013217,54462971.0,December
794,2017-01-13,2017,The Bye Bye Man,Thriller/Suspense,Live Action,Contemporary Fiction,7400000,22395806,8791921,31187727.0,January
795,2017-09-22,2017,Victoria and Abdul,Drama,Live Action,Dramatization,21000000,22245070,46026076,68271146.0,September
796,2017-06-16,2017,Rough Night,Black Comedy,Live Action,Contemporary Fiction,20000000,22105643,24738714,46844357.0,June
797,2017-10-06,2017,My Little Pony: The Movie,Adventure,Digital Animation,Kids Fiction,6500000,21885107,39409537,61294644.0,October
798,2017-08-25,2017,Ballerina,Adventure,Digital Animation,Kids Fiction,30000000,21858070,75032724,96890794.0,August
799,2017-12-25,2017,Phantom Thread,Drama,Live Action,Historical Fiction,35000000,21198205,26698516,47896721.0,December
800,2018-02-16,2018,Black Panther,Action,Live Action,Super Hero,200000000,700059566,639674336,1339733902.0,February
801,2018-04-27,2018,Avengers: Infinity War,Action,Animation/Live Action,Super Hero,300000000,678815482,1365725041,2044540523.0,April
802,2018-06-15,2018,Incredibles 2,Adventure,Digital Animation,Kids Fiction,200000000,608581744,634223615,1242805359.0,June
803,2018-06-22,2018,Jurassic World: Fallen Kingdom,Action,Live Action,Science Fiction,170000000,417719760,890614245,1308334005.0,June
804,2018-12-21,2018,Aquaman,Action,Animation/Live Action,Super Hero,160000000,335061807,808904713,1143966520.0,December
805,2018-05-18,2018,Deadpool 2,Action,Animation/Live Action,Super Hero,110000000,324591735,462088822,786680557.0,May
806,2018-11-09,2018,Dr. Seussâ The Grinch,Adventure,Digital Animation,Kids Fiction,75000000,270620950,241048559,511669509.0,November
807,2018-07-27,2018,Mission: ImpossibleâFallout,Action,Live Action,Contemporary Fiction,178000000,220159104,567017625,787176729.0,July
808,2018-07-06,2018,Ant-Man and the Wasp,Action,Animation/Live Action,Super Hero,130000000,216648740,406495920,623144660.0,July
809,2018-11-02,2018,Bohemian Rhapsody,Drama,Live Action,Dramatization,55000000,216303339,679406902,895710241.0,November
810,2018-10-05,2018,A Star is Born,Drama,Live Action,Contemporary Fiction,36000000,215288866,217126144,432415010.0,October
811,2018-05-25,2018,Solo: A Star Wars Story,Adventure,Animation/Live Action,Science Fiction,275000000,213767512,179383835,393151347.0,May
812,2018-10-05,2018,Venom,Action,Animation/Live Action,Super Hero,116000000,213511408,640117197,853628605.0,October
813,2018-11-21,2018,Ralph Breaks The Internet,Adventure,Digital Animation,Kids Fiction,175000000,201091711,328199119,529290830.0,November
814,2018-12-14,2018,Spider-Man: Into The Spider-Verse 3D,Adventure,Digital Animation,Super Hero,90000000,190173195,184335749,374508944.0,December
815,2018-04-06,2018,A Quiet Place,Horror,Live Action,Contemporary Fiction,17000000,188024361,147180870,335205231.0,April
816,2018-08-15,2018,Crazy Rich Asians,Romantic Comedy,Live Action,Contemporary Fiction,30000000,174532921,63566790,238099711.0,August
817,2018-12-19,2018,Mary Poppins Returns,Musical,Animation/Live Action,Kids Fiction,130000000,171958438,177146481,349104919.0,December
818,2018-07-13,2018,Hotel Transylvania 3: Summer Vacation,Adventure,Digital Animation,Kids Fiction,65000000,167500092,359603103,527103195.0,July
819,2018-11-16,2018,Fantastic Beasts: The Crimes of Grind…,Adventure,Animation/Live Action,Fantasy,200000000,159555901,491724574,651280475.0,November
820,2018-10-19,2018,Halloween,Horror,Live Action,Contemporary Fiction,10000000,159347015,96143163,255490178.0,October
821,2018-08-10,2018,The Meg,Action,Live Action,Science Fiction,178000000,145443742,381926973,527370715.0,August
822,2018-06-08,2018,Oceanâs 8,Action,Live Action,Contemporary Fiction,70000000,140218711,157500000,297718711.0,June
823,2018-03-29,2018,Ready Player One,Adventure,Animation/Live Action,Science Fiction,150000000,137690172,441365481,579055653.0,March
824,2018-12-21,2018,Bumblebee,Adventure,Animation/Live Action,Science Fiction,102000000,127195589,338000000,465195589.0,December
825,2018-07-20,2018,Mamma Mia: Here We Go Again!,Musical,Live Action,Contemporary Fiction,75000000,120634935,272244726,392879661.0,July
826,2018-09-07,2018,The Nun,Horror,Live Action,Contemporary Fiction,22000000,117450119,245941528,363391647.0,September
827,2018-11-21,2018,Creed II,Drama,Live Action,Contemporary Fiction,50000000,115715889,97875633,213591522.0,November
828,2018-02-09,2018,Peter Rabbit,Adventure,Animation/Live Action,Kids Fiction,50000000,115234093,229921347,345155440.0,February
829,2018-12-14,2018,The Mule,Drama,Live Action,Dramatization,50000000,103804407,69867011,173671418.0,December
830,2018-07-20,2018,The Equalizer 2,Action,Live Action,Contemporary Fiction,77000000,102084362,88291819,190376181.0,July
831,2018-04-13,2018,Rampage,Action,Live Action,Science Fiction,120000000,101028233,326918984,427947217.0,April
832,2018-03-09,2018,A Wrinkle in Time,Adventure,Live Action,Fantasy,103000000,100478608,32923274,133401882.0,March
833,2018-02-09,2018,Fifty Shades Freed,Drama,Live Action,Contemporary Fiction,55000000,100407760,271577258,371985018.0,February
834,2018-08-03,2018,Christopher Robin,Adventure,Animation/Live Action,Kids Fiction,75000000,99215042,98289716,197504758.0,August
835,2018-11-16,2018,Green Book,Comedy,Live Action,Dramatization,23000000,85080171,234949217,320029388.0,November
836,2018-03-16,2018,I Can Only Imagine,Drama,Live Action,Dramatization,7000000,83482352,2301215,85783567.0,March
837,2018-09-28,2018,Smallfoot,Adventure,Digital Animation,Kids Fiction,80000000,83240103,130441970,213682073.0,September
838,2018-09-28,2018,Night School,Comedy,Live Action,Contemporary Fiction,29000000,77339130,25774316,103113446.0,September
839,2018-07-04,2018,The First Purge,Horror,Live Action,Contemporary Fiction,13000000,69488745,67565852,137054597.0,July
840,2018-02-23,2018,Game Night,Comedy,Live Action,Contemporary Fiction,37000000,69179066,48199018,117378084.0,February
841,2018-05-18,2018,Book Club,Comedy,Live Action,Contemporary Fiction,10000000,68566296,22762167,91328463.0,May
842,2018-09-21,2018,The House with a Clock in its Walls,Comedy,Live Action,Historical Fiction,40000000,68549695,62907452,131457147.0,September
843,2018-07-13,2018,Skyscraper,Action,Live Action,Contemporary Fiction,125000000,68420120,236448841,304868961.0,July
844,2018-01-05,2018,Insidious: The Last Key,Horror,Live Action,Contemporary Fiction,10000000,67745330,105066641,172811971.0,January
845,2018-11-16,2018,Instant Family,Comedy,Live Action,Contemporary Fiction,48000000,67363237,52372951,119736188.0,November
846,2018-04-06,2018,Blockers,Comedy,Live Action,Contemporary Fiction,21000000,60311495,34212286,94523781.0,April
847,2018-03-23,2018,Pacific Rim: Uprising,Action,Live Action,Science Fiction,155000000,59874525,231055623,290930148.0,March
848,2018-03-16,2018,Tomb Raider,Action,Live Action,Contemporary Fiction,90000000,58250803,215226698,273477501.0,March
849,2018-01-26,2018,Maze Runner: The Death Cure,Thriller/Suspense,Live Action,Science Fiction,61000000,58032443,207846093,265878536.0,January
850,2018-11-02,2018,The Nutcracker and the Four Realms,Adventure,Live Action,Fantasy,132900000,54858851,115165449,170024300.0,November
851,2018-06-15,2018,Tag,Comedy,Live Action,Contemporary Fiction,28000000,54730625,22294319,77024944.0,June
852,2018-09-14,2018,A Simple Favor,Thriller/Suspense,Live Action,Contemporary Fiction,20000000,53548586,44080131,97628717.0,September
853,2018-05-11,2018,Life of the Party,Comedy,Live Action,Contemporary Fiction,30000000,53059911,12800000,65859911.0,May
854,2018-09-14,2018,The Predator,Action,Live Action,Science Fiction,88000000,51024708,108462855,159487563.0,September
855,2018-05-04,2018,Overboard,Romantic Comedy,Live Action,Contemporary Fiction,12000000,50316123,40928790,91244913.0,May
856,2018-06-29,2018,Sicario: Day of the Soldado,Action,Live Action,Contemporary Fiction,35000000,50065850,25819346,75885196.0,June
857,2018-08-10,2018,BlacKkKlansman,Thriller/Suspense,Live Action,Dramatization,15000000,49275340,44136086,93411426.0,August
858,2018-04-20,2018,I Feel Pretty,Comedy,Live Action,Contemporary Fiction,32000000,48795601,42648494,91444095.0,April
859,2018-12-25,2018,Vice,Black Comedy,Live Action,Dramatization,60000000,47836282,23057500,70893782.0,December
860,2018-03-02,2018,Red Sparrow,Thriller/Suspense,Live Action,Contemporary Fiction,69000000,46874505,99077356,145951861.0,March
861,2018-05-11,2018,Breaking In,Thriller/Suspense,Live Action,Contemporary Fiction,6000000,46840590,4644792,51485382.0,May
862,2018-10-12,2018,Goosebumps 2: Haunted Halloween,Horror,Animation/Live Action,Kids Fiction,35000000,46697321,46594157,93291478.0,October
863,2018-01-19,2018,12 Strong,Drama,Live Action,Historical Fiction,35000000,45819713,25298665,71118378.0,January
864,2018-01-19,2018,Den of Thieves,Action,Live Action,Contemporary Fiction,30000000,44947622,35199544,80147166.0,January
865,2018-10-12,2018,First Man,Drama,Live Action,Dramatization,60000000,44936545,60766780,105703325.0,October
866,2018-06-08,2018,Hereditary,Horror,Live Action,Contemporary Fiction,10000000,44069456,37194033,81263489.0,June
867,2018-03-30,2018,Acrimony,Thriller/Suspense,Live Action,Contemporary Fiction,20000000,43549096,3078740,46627836.0,March
868,2018-03-23,2018,Sherlock Gnomes,Adventure,Digital Animation,Kids Fiction,59000000,43242871,44284780,87527651.0,March
869,2018-06-29,2018,Uncle Drew,Comedy,Live Action,Contemporary Fiction,18000000,42469946,4124315,46594261.0,June
870,2018-11-16,2018,Widows,Thriller/Suspense,Live Action,Contemporary Fiction,40000000,42402632,31463456,73866088.0,November
871,2018-04-13,2018,Truth or Dare,Thriller/Suspense,Live Action,Contemporary Fiction,3500000,41411015,53881729,95292744.0,April
872,2018-01-12,2018,Paddington 2,Adventure,Animation/Live Action,Kids Fiction,0,40891591,152576163,193467754.0,January
873,2018-03-16,2018,"Love, Simon",Drama,Live Action,Contemporary Fiction,10000000,40826341,24694292,65520633.0,March
874,2018-12-21,2018,Second Act,Comedy,Live Action,Contemporary Fiction,15700000,39282227,24006627,63288854.0,December
875,2018-01-12,2018,The Commuter,Action,Live Action,Contemporary Fiction,40000000,36343858,82165978,118509836.0,January
876,2018-02-09,2018,The 15:17 to Paris,Drama,Live Action,Dramatization,30000000,36276286,19819914,56096200.0,February
877,2018-08-17,2018,Mile 22,Action,Live Action,Contemporary Fiction,35000000,36108758,30186363,66295121.0,August
878,2018-08-17,2018,Alpha,Adventure,Live Action,Historical Fiction,51000000,35851379,63773494,99624873.0,August
879,2018-09-07,2018,Peppermint,Action,Live Action,Contemporary Fiction,25000000,35418723,16382035,51800758.0,September
880,2018-11-23,2018,The Favourite,Black Comedy,Live Action,Dramatization,15000000,34366783,61505365,95872148.0,November
881,2018-03-02,2018,Death Wish,Action,Live Action,Contemporary Fiction,30000000,34017028,14558937,48575965.0,March
882,2018-08-03,2018,The Spy Who Dumped Me,Comedy,Live Action,Contemporary Fiction,40000000,33562069,43547888,77109957.0,August
883,2018-02-23,2018,Annihilation,Thriller/Suspense,Live Action,Science Fiction,55000000,32732301,10338614,43070915.0,February
884,2018-03-23,2018,Isle of Dogs,Comedy,Stop-Motion Animation,Kids Fiction,0,32015231,26646413,58661644.0,March
885,2018-11-02,2018,Nobodyâs Fool,Drama,Live Action,Contemporary Fiction,19000000,31713110,876383,32589493.0,November
886,2018-06-01,2018,Adrift,Drama,Live Action,Dramatization,35000000,31445011,26452180,57897191.0,June
888,2018-04-20,2018,Super Troopers 2,Comedy,Live Action,Contemporary Fiction,13500000,30617396,958239,31575635.0,April
889,2018-12-25,2018,Holmes & Watson,Comedy,Live Action,Historical Fiction,42000000,30568743,11357862,41926605.0,December
890,2018-08-10,2018,Slender Man,Horror,Live Action,Contemporary Fiction,10000000,30564825,21381124,51945949.0,August
891,2018-07-27,2018,Teen Titans Go! To The Movies,Adventure,Digital Animation,Kids Fiction,10000000,29790236,21830357,51620593.0,July
892,2018-10-05,2018,The Hate U Give,Drama,Live Action,Contemporary Fiction,23000000,29719483,5348182,35067665.0,October
893,2018-08-24,2018,Searching,Thriller/Suspense,Live Action,Contemporary Fiction,880000,26015149,50075464,76090613.0,August
894,2018-02-02,2018,Winchester,Horror,Live Action,Dramatization,3500000,25091816,20868439,45960255.0,February
895,2018-12-25,2018,On the Basis of Sex,Drama,Live Action,Dramatization,20000000,24704837,14178607,38883444.0,December
896,2018-03-09,2018,The Strangers: Prey at Night,Horror,Live Action,Dramatization,5000000,24431472,7712790,32144262.0,March
897,2018-09-14,2018,White Boy Rick,Drama,Live Action,Dramatization,30000000,24004833,1943150,25947983.0,September
898,2018-06-08,2018,Wonât You Be My Neighbor?,Documentary,Live Action,Factual,0,22835787,11851,22847638.0,June
899,2018-11-09,2018,Overlord,Action,Live Action,Historical Fiction,38000000,21704844,17473345,39178189.0,November
900,2019-04-26,2019,Avengers: Endgame,Action,Animation/Live Action,Super Hero,400000000,858373000,1939427564,2797800564.0,April
901,2019-07-19,2019,The Lion King,Adventure,Animation/Live Action,Kids Fiction,260000000,543638043,1112503536,1656141579.0,July
902,2019-12-20,2019,Star Wars: The Rise of Skywalker,Adventure,Animation/Live Action,Science Fiction,275000000,515202542,557741680,1072944222.0,December
903,2019-11-22,2019,Frozen II,Adventure,Digital Animation,Kids Fiction,150000000,477373578,969892165,1447265743.0,November
904,2019-06-21,2019,Toy Story 4,Adventure,Digital Animation,Kids Fiction,200000000,434038008,639356805,1073394813.0,June
905,2019-03-08,2019,Captain Marvel,Action,Animation/Live Action,Super Hero,175000000,426829839,702900000,1129729839.0,March
906,2019-07-02,2019,Spider-Man: Far From Home,Action,Live Action,Super Hero,160000000,390532085,739418016,1129950101.0,July
907,2019-05-24,2019,Aladdin,Adventure,Animation/Live Action,Fantasy,182000000,355559216,691416598,1046975814.0,May
908,2019-10-04,2019,Joker,Thriller/Suspense,Live Action,Contemporary Fiction,55000000,335451311,737105360,1072556671.0,October
909,2019-12-13,2019,Jumanji: The Next Level,Adventure,Live Action,Science Fiction,125000000,316831246,480301636,797132882.0,December
910,2019-09-06,2019,It: Chapter Two,Horror,Live Action,Contemporary Fiction,70000000,211593228,257973578,469566806.0,September
911,2019-03-22,2019,Us,Thriller/Suspense,Live Action,Contemporary Fiction,20000000,175084580,81084499,256169079.0,March
912,2019-08-02,2019,Fast & Furious Presents: Hobbs & Shaw,Action,Live Action,Contemporary Fiction,200000000,173956935,585808188,759765123.0,August
913,2019-05-17,2019,John Wick: Chapter 3 â Parabellum,Action,Live Action,Contemporary Fiction,40000000,171016727,154770095,325786822.0,May
914,2019-11-27,2019,Knives Out,Drama,Live Action,Contemporary Fiction,40000000,165364060,145109021,310473081.0,November
915,2019-02-22,2019,How to Train Your Dragon: The Hidden …,Adventure,Digital Animation,Kids Fiction,129000000,160799505,361340331,522139836.0,February
916,2019-12-25,2019,1917,Thriller/Suspense,Live Action,Historical Fiction,100000000,159227644,207444414,366672058.0,December
917,2019-06-07,2019,The Secret Life of Pets 2,Adventure,Digital Animation,Kids Fiction,80000000,158874395,275577011,434451406.0,June
918,2019-05-10,2019,PokÃ©mon: Detective Pikachu,Adventure,Animation/Live Action,Kids Fiction,150000000,144105346,288037390,432142736.0,May
919,2019-07-26,2019,Once Upon a Timeâ¦in Hollywood,Thriller/Suspense,Live Action,Dramatization,90000000,142502728,233655668,376158396.0,July
920,2019-04-05,2019,Shazam!,Action,Live Action,Super Hero,85000000,140371656,223292877,363664533.0,April
921,2019-11-15,2019,Ford v. Ferrari,Drama,Live Action,Dramatization,97600000,117624357,106827345,224451702.0,November
922,2019-03-29,2019,Dumbo,Adventure,Animation/Live Action,Kids Fiction,170000000,114766307,238400000,353166307.0,March
923,2019-10-18,2019,Maleficent: Mistress of Evil,Adventure,Live Action,Fantasy,185000000,113929605,375416890,489346495.0,October
924,2019-01-18,2019,Glass,Thriller/Suspense,Live Action,Contemporary Fiction,20000000,111048468,135950571,246999039.0,January
925,2019-05-31,2019,Godzilla: King of the Monsters,Action,Live Action,Science Fiction,170000000,110500138,272799777,383299915.0,May
926,2019-01-11,2019,The Upside,Comedy,Live Action,Dramatization,37500000,108235497,17582943,125818440.0,January
927,2019-12-25,2019,Little Women,Drama,Live Action,Historical Fiction,42000000,108095955,108793802,216889757.0,December
928,2019-02-08,2019,The LEGO Movie 2: The Second Part,Adventure,Digital Animation,Kids Fiction,99000000,105806508,84324528,190131036.0,February
929,2019-09-13,2019,Hustlers,Drama,Live Action,Dramatization,20700000,104963598,45509115,150472713.0,September
930,2019-10-11,2019,The Addams Family,Adventure,Digital Animation,Kids Fiction,24000000,97185807,102747294,199933101.0,October
931,2019-09-20,2019,Downton Abbey,Drama,Live Action,Historical Fiction,0,96853865,97197437,194051302.0,September
932,2019-05-31,2019,Rocketman,Drama,Live Action,Dramatization,41000000,96368160,95768860,192137020.0,May
933,2019-02-14,2019,Alita: Battle Angel,Action,Animation/Live Action,Science Fiction,170000000,85710210,316069529,401779739.0,February
934,2019-08-16,2019,Good Boys,Comedy,Live Action,Contemporary Fiction,20000000,83140306,28033047,111173353.0,August
935,2019-06-14,2019,Men in Black: International,Adventure,Animation/Live Action,Science Fiction,110000000,80001807,173018657,253020464.0,June
936,2019-06-26,2019,Annabelle Comes Home,Horror,Live Action,Contemporary Fiction,27000000,74152591,154364522,228517113.0,June
937,2019-06-28,2019,Yesterday,Romantic Comedy,Live Action,Contemporary Fiction,0,73286650,79821997,153108647.0,June
938,2019-03-01,2019,Tyler Perryâs A Madea Family Funeral,Comedy,Live Action,Contemporary Fiction,20000000,73257045,1524954,74781999.0,March
939,2019-10-18,2019,Zombieland: Double Tap,Comedy,Live Action,Contemporary Fiction,48000000,73118130,49147888,122266018.0,October
940,2019-08-23,2019,Angel Has Fallen,Thriller/Suspense,Live Action,Contemporary Fiction,40000000,69030436,64335016,133365452.0,August
941,2019-08-09,2019,Scary Stories to Tell in the Dark,Horror,Live Action,Historical Fiction,28000000,68947075,26660285,95607360.0,August
942,2019-12-25,2019,Spies in Disguise,Adventure,Digital Animation,Kids Fiction,100000000,66757013,98492808,165249821.0,December
943,2019-06-07,2019,Dark Phoenix,Action,Live Action,Super Hero,200000000,65845974,180510921,246356895.0,June
944,2019-11-01,2019,Terminator: Dark Fate,Action,Animation/Live Action,Science Fiction,185000000,62253077,188119290,250372367.0,November
945,2019-11-22,2019,A Beautiful Day in the Neighborhood,Drama,Live Action,Dramatization,45000000,61696436,6709902,68406338.0,November
946,2019-09-27,2019,Abominable,Adventure,Digital Animation,Kids Fiction,75000000,60716390,127170053,187886443.0,September
947,2019-08-09,2019,Dora and the Lost City of Gold,Adventure,Live Action,Kids Fiction,49000000,60477943,56941174,117419117.0,August
948,2019-01-04,2019,Escape Room,Thriller/Suspense,Live Action,Contemporary Fiction,9000000,57000756,98312322,155313078.0,January
949,2019-11-08,2019,Midway,Action,Live Action,Dramatization,100000000,56846802,69201195,126047997.0,November
950,2019-04-19,2019,The Curse of La Llorona,Horror,Live Action,Contemporary Fiction,9000000,54733739,66927656,121661395.0,April
951,2019-04-05,2019,Pet Sematary,Horror,Live Action,Contemporary Fiction,21000000,54724696,54776450,109501146.0,April
952,2019-02-08,2019,What Men Want,Comedy,Live Action,Contemporary Fiction,20000000,54611903,15300000,69911903.0,February
953,2019-10-11,2019,Gisaengchung,Drama,Live Action,Contemporary Fiction,11800000,53369745,201334133,254703878.0,October
954,2019-09-20,2019,Ad Astra,Thriller/Suspense,Live Action,Science Fiction,80000000,50188370,85243649,135432019.0,September
955,2019-12-13,2019,Uncut Gems,Thriller/Suspense,Live Action,Contemporary Fiction,0,50023780,0,50023780.0,December
956,2019-02-13,2019,Isnât it Romantic,Romantic Comedy,Live Action,Contemporary Fiction,31000000,48791187,0,48791187.0,February
957,2019-10-11,2019,Gemini Man,Action,Animation/Live Action,Science Fiction,140000000,48546770,118076935,166623705.0,October
958,2019-05-31,2019,MA,Horror,Live Action,Contemporary Fiction,5000000,45896028,15253725,61149753.0,May
959,2019-03-15,2019,Five Feet Apart,Drama,Live Action,Contemporary Fiction,7000000,45729221,45783890,91513111.0,March
960,2019-03-15,2019,Wonder Park,Adventure,Digital Animation,Kids Fiction,100000000,45216793,69899191,115115984.0,March
961,2019-09-20,2019,Rambo: Last Blood,Action,Live Action,Contemporary Fiction,50000000,44819352,46600000,91419352.0,September
962,2019-11-08,2019,Playing with Fire,Comedy,Live Action,Contemporary Fiction,0,44451847,16010891,60462738.0,November
963,2019-11-27,2019,Queen & Slim,Drama,Live Action,Contemporary Fiction,20000000,43808310,4102582,47910892.0,November
964,2019-11-01,2019,Harriet,Drama,Live Action,Dramatization,17000000,43082155,166219,43248374.0,November
965,2019-01-11,2019,A Dogâs Way Home,Drama,Live Action,Contemporary Fiction,61000000,41952715,39199790,81152505.0,January
966,2019-08-13,2019,The Angry Birds Movie 2,Adventure,Digital Animation,Kids Fiction,65000000,41657076,110355696,152012772.0,August
967,2019-04-12,2019,Little,Comedy,Live Action,Contemporary Fiction,0,40860481,8347436,49207917.0,April
968,2019-04-17,2019,Breakthrough,Drama,Live Action,Dramatization,14000000,40713082,8518592,49231674.0,April
969,2019-07-12,2019,Crawl,Horror,Live Action,Contemporary Fiction,17000000,39014193,50994163,90008356.0,July
970,2019-12-25,2019,Just Mercy,Drama,Live Action,Dramatization,25000000,36001502,14400000,50401502.0,December
971,2019-05-10,2019,The Hustle,Comedy,Live Action,Contemporary Fiction,21000000,35417038,61992741,97409779.0,May
972,2019-05-03,2019,The Intruder,Thriller/Suspense,Live Action,Contemporary Fiction,8000000,35388976,5208209,40597185.0,May
973,2019-11-08,2019,Last Christmas,Romantic Comedy,Live Action,Contemporary Fiction,30000000,35150750,86262879,121413629.0,November
974,2019-08-23,2019,Overcomer,Drama,Live Action,Contemporary Fiction,5000000,34700142,3402846,38102988.0,August
975,2019-10-18,2019,Jojo Rabbit,Black Comedy,Live Action,Historical Fiction,14000000,33370906,53697566,87068472.0,October
976,2019-02-08,2019,Cold Pursuit,Thriller/Suspense,Live Action,Contemporary Fiction,60000000,32138862,30460297,62599159.0,February
977,2019-12-13,2019,Bombshell,Drama,Live Action,Dramatization,32000000,31762808,27731053,59493861.0,December
978,2019-11-08,2019,Doctor Sleep,Horror,Live Action,Contemporary Fiction,45000000,31581712,40274527,71856239.0,November
979,2019-01-16,2019,Dragon Ball Super: Broly,Action,Digital Animation,Fantasy,8500000,30376755,92371000,122747755.0,January
980,2019-05-03,2019,Long Shot,Romantic Comedy,Live Action,Contemporary Fiction,40000000,30316271,23308153,53624424.0,May
981,2019-06-21,2019,Childâs Play,Horror,Live Action,Contemporary Fiction,0,29208403,14295990,43504393.0,June
982,2019-08-21,2019,Ready or Not,Black Comedy,Live Action,Contemporary Fiction,6000000,28714231,28083161,56797392.0,August
983,2019-11-22,2019,21 Bridges,Thriller/Suspense,Live Action,Contemporary Fiction,33000000,28539757,11473888,40013645.0,November
984,2019-02-13,2019,Happy Death Day 2U,Thriller/Suspense,Live Action,Contemporary Fiction,9000000,28148130,36538385,64686515.0,February
985,2019-07-03,2019,Midsommar,Horror,Live Action,Contemporary Fiction,9000000,27426363,19417067,46843430.0,July
986,2019-12-20,2019,Cats,Musical,Animation/Live Action,Fantasy,100000000,27166770,48322489,75489259.0,December
987,2019-08-09,2019,The Art of Racing in the Rain,Drama,Live Action,Contemporary Fiction,18000000,26402818,4594209,30997027.0,August
988,2019-10-25,2019,Countdown,Horror,Live Action,Contemporary Fiction,6500000,25621766,11200023,36821789.0,October
989,2019-09-27,2019,Judy,Drama,Live Action,Dramatization,0,24319961,19578111,43898072.0,September
990,2019-02-14,2019,Fighting With My Family,Comedy,Live Action,Dramatization,11000000,22958583,18544506,41503089.0,February
991,2019-05-17,2019,A Dogâs Journey,Drama,Live Action,Contemporary Fiction,16000000,22782371,54638821,77421192.0,May
992,2019-05-24,2019,Booksmart,Comedy,Live Action,Contemporary Fiction,6000000,22680962,2268850,24949812.0,May
993,2019-07-12,2019,Stuber,Comedy,Live Action,Contemporary Fiction,16000000,22370452,7264317,29634769.0,July
994,2019-12-13,2019,Richard Jewell,Drama,Live Action,Dramatization,45000000,22345542,20755028,43100570.0,December
995,2019-08-16,2019,47 Meters Down: Uncaged,Thriller/Suspense,Live Action,Contemporary Fiction,12000000,22260900,15728340,37989240.0,August
996,2019-10-25,2019,Black and Blue,Action,Live Action,Contemporary Fiction,12000000,22012729,667249,22679978.0,October
997,2019-04-12,2019,Hellboy,Horror,Live Action,Super Hero,50000000,21903748,18882732,40786480.0,April
998,2019-06-14,2019,Shaft,Comedy,Live Action,Contemporary Fiction,30000000,21360215,0,21360215.0,June
999,2019-08-09,2019,The Peanut Butter Falcon,Adventure,Live Action,Contemporary Fiction,6200000,20457158,2677090,23134248.0,August
1000,2020-01-17,2020,Bad Boys For Life,Action,Live Action,Contemporary Fiction,90000000,204417855,220108501,424526356.0,January
1001,2020-02-14,2020,Sonic The Hedgehog,Adventure,Animation/Live Action,Kids Fiction,90000000,146066470,159062042,305128512.0,February
1002,2020-02-07,2020,Birds of Prey (And the Fantabulous Em…,Action,Live Action,Super Hero,82000000,84158461,117700000,201858461.0,February
1003,2020-01-17,2020,Dolittle,Adventure,Animation/Live Action,Fantasy,175000000,77047065,172927201,249974266.0,January
1004,2020-02-28,2020,The Invisible Man,Horror,Live Action,Science Fiction,7000000,64914050,69857814,134771864.0,February
1005,2020-02-21,2020,The Call of the Wild,Adventure,Live Action,Historical Fiction,125000000,62342368,45020147,107362515.0,February
1006,2020-03-06,2020,Onward,Adventure,Digital Animation,Kids Fiction,0,61555145,70419023,131974168.0,March
