,release_date,release_year,title,genre,prod_method,creative_type,budget,dom_gross,int_gross,world_gross,release_month
684,2016-04-29,2016,Motherâs Day,Romantic Comedy,Live Action,Contemporary Fiction,25000000,32492859,19874163,52367022.0,April
685,2016-12-21,2016,Patriots Day,Thriller/Suspense,Live Action,Dramatization,40000000,31886361,20951628,52837989.0,December
686,2016-02-26,2016,Gods of Egypt,Adventure,Live Action,Fantasy,140000000,31153464,107683292,138836756.0,February
687,2016-12-16,2016,Collateral Beauty,Drama,Live Action,Contemporary Fiction,36000000,31016021,54293072,85309093.0,December
688,2016-02-05,2016,"Hail, Caesar!",Comedy,Live Action,Historical Fiction,22000000,30080225,34139971,64220196.0,February
689,2016-09-09,2016,When the Bough Breaks,Thriller/Suspense,Live Action,Contemporary Fiction,10000000,29747603,1020846,30768449.0,September
690,2016-02-12,2016,Zoolander 2,Comedy,Live Action,Contemporary Fiction,50000000,28848693,26500000,55348693.0,February
691,2016-10-21,2016,Moonlight,Drama,Live Action,Historical Fiction,1500000,27854931,37390581,65245512.0,October
692,2016-01-29,2016,The Finest Hours,Thriller/Suspense,Live Action,Dramatization,70000000,27569558,21683203,49252761.0,January
693,2016-08-12,2016,Florence Foster Jenkins,Drama,Live Action,Dramatization,29000000,27383770,28616569,56000339.0,August
694,2016-08-12,2016,Hell or High Water,Western,Live Action,Contemporary Fiction,12000000,27007844,10576460,37584304.0,August
695,2016-01-08,2016,The Forest,Thriller/Suspense,Live Action,Contemporary Fiction,10000000,26594261,14154969,40749230.0,January
696,2016-08-19,2016,Ben-Hur,Drama,Live Action,Historical Fiction,95000000,26410477,65259171,91669648.0,August
697,2016-02-19,2016,The Witch,Horror,Live Action,Historical Fiction,3500000,25138705,15315815,40454520.0,February
698,2016-09-16,2016,Bridget Jonesâs Baby,Romantic Comedy,Live Action,Contemporary Fiction,35000000,24139805,181682883,205822688.0,September
699,2016-10-14,2016,Kevin Hart: What Now?,Concert/Performance,Live Action,Factual,10000000,23591043,0,23591043.0,October
