,title,production_year,budget,dom_gross,int_gross,creative_type,prod_method,genre
921,Alice in Wonderland,2010,200000000,334191110,691300000,Fantasy,Animation/Live Action,Adventure
922,Prince of Persia: Sands of Time,2010,200000000,90759676,245600000,Fantasy,Live Action,Action
923,Toy Story 3,2010,200000000,415004880,653874642,Kids Fiction,Digital Animation,Adventure
924,Robin Hood,2010,210000000,105487148,216971858,Historical Fiction,Live Action,Action
925,Tangled,2010,260000000,200821936,385655304,Kids Fiction,Digital Animation,Musical
926,My Week with Marilyn,2011,10000000,14597405,19643167,Historical Fiction,Live Action,Drama
927,Movie 43,2011,10000000,8840453,22324294,Multiple Creative Types,Multiple Production Methods,Comedy
928,Killer Joe,2011,10000000,1291645,3367465,Contemporary Fiction,Live Action,Black Comedy
929,The Best Exotic Marigold Hotel,2011,10000000,46383639,88256141,Contemporary Fiction,Live Action,Comedy
930,Seeking a Friend for the End of the World,2011,10000000,7078738,4688221,Science Fiction,Live Action,Comedy
931,Les Intouchables,2011,10800000,13182281,471690764,Contemporary Fiction,Live Action,Comedy
932,LOL,2011,11000000,0,10431506,Contemporary Fiction,Live Action,Comedy
933,Quartet,2011,11000000,18388357,37790578,Contemporary Fiction,Live Action,Comedy
934,Project X,2011,12000000,54731865,48296323,Contemporary Fiction,Live Action,Comedy
935,Chronicle,2011,12000000,64575175,59106615,Science Fiction,Live Action,Thriller/Suspense
936,Young Adult,2011,12000000,16311571,6438785,Contemporary Fiction,Live Action,Comedy
937,For Greater Glory: The True Story of Cristiada,2011,12000000,5669081,4357174,Dramatization,Live Action,Action
938,Arbitrage,2011,12000000,7919574,27911139,Contemporary Fiction,Live Action,Thriller/Suspense
939,Tu Xia Chuan Qi,2011,12000000,0,1828400,Kids Fiction,Digital Animation,Adventure
940,Stoker,2011,12000000,1703125,10331788,Contemporary Fiction,Live Action,Drama
941,Act of Valor,2011,12000000,70012847,12484188,Contemporary Fiction,Live Action,Action
942,5 Days of War,2011,12000000,17479,70314,Dramatization,Live Action,Drama
943,In The Land of Blood and Honey,2011,13000000,303877,205316,Historical Fiction,Live Action,Drama
944,Attack the Block,2011,13000000,1024175,5435008,Fantasy,Live Action,Action
945,The Iron Lady,2011,14000000,29959436,85632668,Dramatization,Live Action,Drama
946,Tyler Perry's Good Deeds,2011,14000000,35025791,553386,Contemporary Fiction,Live Action,Drama
947,Reign of Assassins,2011,14000000,0,11354230,Historical Fiction,Live Action,Action
948,The Possession,2011,14000000,49130588,33794476,Fantasy,Live Action,Horror
949,The Woman in Black,2011,15000000,54333290,74622608,Fantasy,Live Action,Thriller/Suspense
950,The Son of No One,2011,15000000,30680,1117898,Contemporary Fiction,Live Action,Drama
951,One Day,2011,15000000,13843771,45324921,Contemporary Fiction,Live Action,Drama
952,A Few Best Men,2011,15000000,0,17224539,Contemporary Fiction,Live Action,Comedy
953,Drive,2011,15000000,35060689,46297241,Contemporary Fiction,Live Action,Action
954,Promised Land,2011,15000000,7597898,4796664,Historical Fiction,Live Action,Drama
955,The Man with the Iron Fists,2011,15000000,15634090,6384898,Contemporary Fiction,Live Action,Action
956,People Like Us,2011,16000000,12431792,185680,Contemporary Fiction,Live Action,Drama
957,The Artist,2011,16000000,44667095,83589617,Historical Fiction,Live Action,Drama
958,Moonrise Kingdom,2011,16000000,45512466,23335980,Historical Fiction,Live Action,Drama
959,Vamps,2011,16000000,3361,91451,Contemporary Fiction,Live Action,Romantic Comedy
