,title,production_year,budget,dom_gross,int_gross,creative_type,prod_method,genre
1423,Chappie,2014,49000000,31569268,73432788,Science Fiction,Animation/Live Action,Action
1424,The Judge,2014,50000000,47119388,29000000,Contemporary Fiction,Live Action,Drama
1425,Child 44,2014,50000000,1224330,6779891,Contemporary Fiction,Live Action,Thriller/Suspense
1426,22 Jump Street,2014,50000000,191719337,139614539,Contemporary Fiction,Live Action,Comedy
1427,Planes: Fire and Rescue,2014,50000000,59157732,97241912,Kids Fiction,Digital Animation,Adventure
1428,Into the Storm,2014,50000000,47602194,102827177,Contemporary Fiction,Live Action,Thriller/Suspense
1429,The Book of Life,2014,50000000,50151543,47500000,Fantasy,Digital Animation,Adventure
1430,Paddington,2014,55000000,76223578,182565519,Kids Fiction,Animation/Live Action,Adventure
1431,Into the Woods,2014,56200000,128002372,85114029,Fantasy,Animation/Live Action,Musical
1432,American Sniper,2014,58000000,350126372,197200000,Dramatization,Live Action,Drama
1433,The Boxtrolls,2014,60000000,50837305,61108946,Kids Fiction,Stop-Motion Animation,Adventure
1434,Gone Girl,2014,61000000,167767189,200800000,Contemporary Fiction,Live Action,Thriller/Suspense
1435,Annie,2014,65000000,85911262,53918363,Contemporary Fiction,Live Action,Musical
1436,Unbroken,2014,65000000,115637895,47889929,Dramatization,Live Action,Drama
1437,Spy!,2014,65000000,110825712,121760036,Contemporary Fiction,Live Action,Comedy
1438,Need for Speed,2014,66000000,43568507,150601112,Contemporary Fiction,Live Action,Action
1439,Ted 2,2014,68000000,81476385,135737758,Fantasy,Live Action,Comedy
1440,Dracula Untold,2014,70000000,55991880,164249843,Fantasy,Live Action,Action
1441,Blackhat,2014,70000000,8005980,11659024,Contemporary Fiction,Live Action,Thriller/Suspense
1442,The SpongeBob Movie: Sponge Out of Water,2014,74000000,162994032,148019149,Kids Fiction,Animation/Live Action,Adventure
1443,Minions,2014,74000000,336045770,824290403,Kids Fiction,Digital Animation,Adventure
1444,Fury,2014,80000000,85817906,124497775,Historical Fiction,Live Action,Drama
1445,Divergent,2014,85000000,150947895,125067070,Science Fiction,Live Action,Adventure
1446,Kingsman: The Secret Service,2014,94000000,128261724,276300000,Contemporary Fiction,Live Action,Action
1447,Cinderella,2014,95000000,201151353,333400000,Fantasy,Live Action,Drama
1448,Seventh Son,2014,95000000,17725785,91149182,Fantasy,Live Action,Adventure
1449,In the Heart of the Sea,2014,100000000,25020758,64672551,Dramatization,Live Action,Adventure
1450,The Expendables 3,2014,100000000,39322544,170138834,Contemporary Fiction,Live Action,Action
1451,Transcendence,2014,100000000,23022309,80016949,Science Fiction,Live Action,Thriller/Suspense
1452,San Andreas,2014,110000000,155190832,301067707,Science Fiction,Live Action,Adventure
1453,The Divergent Series: Insurgent,2014,110000000,130179072,164896810,Science Fiction,Live Action,Action
1454,Teenage Mutant Ninja Turtles,2014,125000000,191204754,293800000,Super Hero,Animation/Live Action,Adventure
1455,The Hunger Games: Mockingjay - Part 1,2014,125000000,337135885,429439246,Science Fiction,Live Action,Thriller/Suspense
1456,Night at the Museum: Secret of the Tomb,2014,127000000,113746621,240010000,Fantasy,Animation/Live Action,Adventure
1457,Rio 2,2014,130000000,131538435,361307856,Kids Fiction,Digital Animation,Adventure
1458,Noah,2014,130000000,101200044,251631021,Historical Fiction,Live Action,Drama
1459,Home,2014,130000000,177397510,208600386,Kids Fiction,Digital Animation,Adventure
1460,Penguins of Madagascar,2014,132000000,83350911,283591620,Kids Fiction,Digital Animation,Adventure
1461,Exodus: Gods and Kings,2014,140000000,65014513,203300000,Historical Fiction,Live Action,Drama
1462,Mad Max: Fury Road,2014,150000000,153636354,216461666,Science Fiction,Live Action,Action
1463,Godzilla,2014,160000000,200676069,328400000,Science Fiction,Live Action,Action
1464,Big Hero 6,2014,165000000,222527828,429600000,Super Hero,Digital Animation,Adventure
1465,Interstellar,2014,165000000,188017894,478361481,Science Fiction,Live Action,Adventure
1466,Captain America: The Winter Soldier,2014,170000000,259746958,454654931,Super Hero,Live Action,Action
1467,Guardians of the Galaxy,2014,170000000,333172112,437695404,Super Hero,Animation/Live Action,Action
1468,Dawn of the Planet of the Apes,2014,170000000,208545589,502098977,Science Fiction,Animation/Live Action,Adventure
1469,Tomorrowland,2014,170000000,93436322,113191196,Science Fiction,Live Action,Adventure
1470,Inside Out,2014,175000000,356461711,497774281,Kids Fiction,Digital Animation,Adventure
1471,Jupiter Ascending,2014,179000000,47482519,134500000,Science Fiction,Live Action,Action
1472,The Good Dinosaur,2014,187500000,123087120,210683917,Kids Fiction,Digital Animation,Adventure
1473,Furious 7,2014,190000000,353007020,1165715774,Contemporary Fiction,Live Action,Action
1474,X-Men: Days of Future Past,2014,200000000,233921534,513941241,Super Hero,Live Action,Action
1475,Jurassic World,2014,215000000,652270625,996584239,Science Fiction,Live Action,Action
1476,The Hobbit: The Battle of the Five Armies,2014,250000000,255119788,690457833,Fantasy,Live Action,Adventure
1477,Avengers: Age of Ultron,2014,330600000,459005868,944008095,Super Hero,Animation/Live Action,Action
1478,Sinister 2,2015,10000000,27740955,26363270,Fantasy,Live Action,Horror
1479,Free Fire,2015,10000000,1799322,1994417,Historical Fiction,Live Action,Action
1480,The Forest,2015,10000000,26594261,14154969,Fantasy,Live Action,Thriller/Suspense
1481,When the Bough Breaks,2015,10000000,29747603,1020846,Contemporary Fiction,Live Action,Thriller/Suspense
1482,Insidious Chapter 3,2015,10000000,52218558,68234597,Contemporary Fiction,Live Action,Horror
1483,The Second Best Exotic Marigold Hotel,2015,10000000,33078266,57306040,Contemporary Fiction,Live Action,Comedy
1484,Shut In,2015,10000000,6900335,4460330,Fantasy,Live Action,Thriller/Suspense
1485,Everybody Wants Some,2015,10000000,3400278,2036848,Historical Fiction,Live Action,Comedy
1486,The Boy,2015,10000000,35819556,32401396,Fantasy,Live Action,Horror
1487,Misconduct,2015,11000000,0,2352511,Contemporary Fiction,Live Action,Thriller/Suspense
1488,Dirty Grandpa,2015,11500000,35593113,69485336,Contemporary Fiction,Live Action,Comedy
1489,Carol,2015,11800000,12711491,30132030,Historical Fiction,Live Action,Drama
1490,The Dressmaker,2015,11900000,2022115,22019502,Contemporary Fiction,Live Action,Drama
1491,Lion,2015,12000000,51739495,97831225,Dramatization,Live Action,Drama
1492,10 Days in a Madhouse,2015,12000000,14616,0,Dramatization,Live Action,Drama
1493,San cheng ji,2015,12000000,0,1950194,Dramatization,Live Action,Drama
1494,Paper Towns,2015,12000000,32000304,53450180,Contemporary Fiction,Live Action,Drama
1495,Brothers,2015,13000000,656688,17200000,Contemporary Fiction,Live Action,Action
1496,Bajrangi Bhaijaan,2015,13000000,8178001,113600346,Contemporary Fiction,Live Action,Action
1497,Miracles from Heaven,2015,13000000,61705123,12093613,Dramatization,Live Action,Drama
1498,Eye in the Sky,2015,13000000,18704596,16698206,Contemporary Fiction,Live Action,Thriller/Suspense
1499,Youth,2015,13000000,2703296,21298277,Contemporary Fiction,Live Action,Drama
1500,Room,2015,13000000,14677674,21585109,Contemporary Fiction,Live Action,Drama
1501,Robinson Crusoe,2015,13000000,8005586,34440869,Kids Fiction,Digital Animation,Adventure
1502,The Vatican Tapes,2015,13000000,1784763,13144421,Contemporary Fiction,Live Action,Horror
1503,Woodlawn,2015,13000000,14394097,9606,Dramatization,Live Action,Drama
1504,Magic Mike XXL,2015,14500000,66013057,57647540,Contemporary Fiction,Live Action,Comedy
1505,Krampus,2015,15000000,42725475,19062918,Fantasy,Live Action,Black Comedy
1506,Scouts Guide to the Zombie Apocalypse,2015,15000000,3703046,11851809,Fantasy,Live Action,Comedy
1507,Cìkè Niè Yinniáng,2015,15000000,632542,10647342,Historical Fiction,Live Action,Drama
1508,The Disappointments Room,2015,15000000,2423467,1080294,Contemporary Fiction,Live Action,Horror
1509,In Dubious Battle,2015,15000000,0,214182,Historical Fiction,Live Action,Drama
1510,Chiamatemi Francesco - Il papa della gente,2015,15000000,0,3925769,Dramatization,Live Action,Drama
1511,Bleed for This,2015,16000000,5083906,1520020,Dramatization,Live Action,Drama
1512,The Young Messiah,2015,16800000,6469813,843884,Dramatization,Live Action,Drama
1513,Genius,2015,17000000,1361045,5904238,Dramatization,Live Action,Drama
1514,Midnight Special,2015,18000000,3712282,3967968,Science Fiction,Live Action,Drama
1515,Love the Coopers,2015,18000000,26302731,15924759,Contemporary Fiction,Live Action,Comedy
1516,Norm of the North,2015,18000000,17062499,13473161,Kids Fiction,Digital Animation,Adventure
1517,The Perfect Guy,2015,18000000,57027435,3250731,Contemporary Fiction,Live Action,Thriller/Suspense
1518,Ricki and the Flash,2015,18000000,26839498,14326535,Contemporary Fiction,Live Action,Drama
1519,My Big Fat Greek Wedding 2,2015,18000000,59689605,32406953,Contemporary Fiction,Live Action,Comedy
1520,Risen,2015,20000000,36880033,9375730,Historical Fiction,Live Action,Drama
1521,Barbershop: The Next Cut,2015,20000000,54030051,374151,Contemporary Fiction,Live Action,Comedy
1522,Spotlight,2015,20000000,45055776,47032684,Dramatization,Live Action,Drama
1523,Regression,2015,20000000,55039,15769335,Contemporary Fiction,Live Action,Thriller/Suspense
1524,Triple 9,2015,20000000,12639297,13304495,Contemporary Fiction,Live Action,Thriller/Suspense
1525,My All-American,2015,20000000,2246000,0,Dramatization,Live Action,Drama
1526,By the Sea,2015,20000000,538460,3189286,Historical Fiction,Live Action,Drama
1527,Survivor,2015,20000000,0,1703281,Contemporary Fiction,Live Action,Thriller/Suspense
1528,Secret in Their Eyes,2015,20000000,20180155,12427864,Contemporary Fiction,Live Action,Thriller/Suspense
1529,Hands of Stone,2015,20000000,4712792,319183,Dramatization,Live Action,Drama
1530,Me Before You,2015,20000000,56245075,152020123,Contemporary Fiction,Live Action,Drama
1531,Max,2015,20000000,42656255,1001902,Contemporary Fiction,Live Action,Adventure
1532,Kidnap,2015,21000000,30718107,4117973,Contemporary Fiction,Live Action,Thriller/Suspense
1533,Bitter Harvest,2015,21000000,557241,48921,Historical Fiction,Live Action,Drama
1534,The Transporter Refueled,2015,22000000,16029670,53668825,Contemporary Fiction,Live Action,Action
1535,"Hail, Caesar!",2015,22000000,30080225,34080455,Historical Fiction,Live Action,Comedy
1536,Eddie the Eagle,2015,23000000,15789389,29271091,Dramatization,Live Action,Drama
1537,Tulip Fever,2015,25000000,2455635,4337133,Historical Fiction,Live Action,Drama
1538,Shaun the Sheep,2015,25000000,19375982,82549179,Kids Fiction,Stop-Motion Animation,Adventure
1539,The Night Before,2015,25000000,43035725,9391621,Contemporary Fiction,Live Action,Comedy
1540,Legend,2015,25000000,1872994,40552456,Dramatization,Live Action,Thriller/Suspense
1541,The 33,2015,25000000,12227722,16172993,Dramatization,Live Action,Drama
1542,Self/Less,2015,26000000,12279691,21387628,Science Fiction,Live Action,Thriller/Suspense
1543,The Big Short,2015,28000000,70259870,62902882,Historical Fiction,Live Action,Drama
1544,Straight Outta Compton,2015,28000000,161197785,40985196,Dramatization,Live Action,Drama
1545,Pride and Prejudice and Zombies,2015,28000000,10907291,5731009,Science Fiction,Live Action,Black Comedy
1546,American Ultra,2015,28000000,14439985,15855043,Contemporary Fiction,Live Action,Black Comedy
1547,The Boss,2015,29000000,63077560,15574647,Contemporary Fiction,Live Action,Comedy
1548,Collide,2015,29200000,2280004,3186694,Contemporary Fiction,Live Action,Action
1549,Steve Jobs,2015,30000000,17766658,17812349,Dramatization,Live Action,Drama
1550,Sicario,2015,30000000,46889293,37504456,Contemporary Fiction,Live Action,Thriller/Suspense
1551,Savva. Serdtse voyna,2015,30000000,0,4847112,Kids Fiction,Digital Animation,Adventure
1552,Entourage,2015,30000000,32363404,14075134,Contemporary Fiction,Live Action,Comedy
1553,Sisters,2015,30000000,87044645,18986015,Contemporary Fiction,Live Action,Comedy
1554,The Age of Adaline,2015,30000000,42629776,26354760,Fantasy,Live Action,Drama
1555,Southpaw,2015,30000000,52421953,41734503,Contemporary Fiction,Live Action,Drama
1556,Vacation,2015,31000000,58884188,43422312,Contemporary Fiction,Live Action,Comedy
1557,Criminal,2015,31500000,14708696,24062566,Science Fiction,Live Action,Action
1558,Freaks of Nature,2015,33000000,70958,0,Fantasy,Live Action,Black Comedy
1559,The Longest Ride,2015,34000000,37446117,26356811,Contemporary Fiction,Live Action,Drama
1560,The Brothers Grimsby,2015,35000000,6864016,21856454,Contemporary Fiction,Live Action,Comedy
1561,Hot Pursuit,2015,35000000,34580201,11091311,Contemporary Fiction,Live Action,Comedy
1562,The Lovers,2015,35000000,0,53899,Historical Fiction,Live Action,Adventure
1563,Trainwreck,2015,35000000,110212700,30911197,Contemporary Fiction,Live Action,Comedy
1564,Concussion,2015,35000000,34531832,15831958,Contemporary Fiction,Live Action,Drama
1565,A Hologram for the King,2015,35000000,4212494,7633516,Contemporary Fiction,Live Action,Drama
1566,The Walk,2015,35000000,10161183,51035862,Dramatization,Live Action,Drama
1567,Queen of the Desert,2015,36000000,0,1578543,Dramatization,Live Action,Drama
1568,Collateral Beauty,2015,36000000,31016021,54293072,Contemporary Fiction,Live Action,Drama
1569,Yip Man 3,2015,36000000,2679437,154621517,Historical Fiction,Live Action,Action
1570,Creed,2015,37000000,109767581,63800000,Contemporary Fiction,Live Action,Drama
1571,How to be Single,2015,37000000,46843513,53160267,Contemporary Fiction,Live Action,Romantic Comedy
1572,Paul Blart: Mall Cop 2,2015,38000000,71091594,36559052,Contemporary Fiction,Live Action,Adventure
1573,The 5th Wave,2015,38000000,34912982,76423416,Science Fiction,Live Action,Action
1574,The Gunman,2015,40000000,10664749,7929478,Contemporary Fiction,Live Action,Thriller/Suspense
1575,Get Hard,2015,40000000,90411453,16100000,Contemporary Fiction,Live Action,Comedy
1576,The Accountant,2015,40000000,86260045,66702038,Contemporary Fiction,Live Action,Thriller/Suspense
1577,Bridge of Spies,2015,40000000,72313754,90184584,Historical Fiction,Live Action,Thriller/Suspense
1578,Baahubali: The Beginning,2015,40000000,6738000,19998665,Historical Fiction,Live Action,Action
1579,The Intern,2015,40000000,75764672,121351038,Contemporary Fiction,Live Action,Comedy
1580,The Conjuring 2: The Enfield Poltergeist,2015,40000000,102470008,208792094,Fantasy,Live Action,Horror
1581,Billy Lynn’s Long Halftime Walk,2015,40000000,1738477,28491925,Historical Fiction,Live Action,Drama
1582,Pourquoi j'ai pas mangé mon père,2015,42000000,0,15451663,Kids Fiction,Digital Animation,Adventure
1583,Taken 3,2015,48000000,89256424,238400000,Contemporary Fiction,Live Action,Action
1584,The Nice Guys,2015,50000000,36261763,23334984,Historical Fiction,Live Action,Black Comedy
1585,War Dogs,2015,50000000,43034523,43199980,Dramatization,Live Action,Comedy
1586,Zoolander 2,2015,50000000,28848693,26500000,Contemporary Fiction,Live Action,Comedy
1587,Snowden,2015,50000000,21587519,13793399,Dramatization,Live Action,Drama
1588,Free State of Jones,2015,50000000,20810036,2427216,Historical Fiction,Live Action,Drama
1589,Run All Night,2015,50000000,26461644,40500000,Contemporary Fiction,Live Action,Action
1590,13 Hours: The Secret Soldiers of Benghazi,2015,50000000,52853219,16558151,Dramatization,Live Action,Drama
1591,Daddy’s Home,2015,50000000,150357137,92400000,Contemporary Fiction,Live Action,Comedy
1592,Black Mass,2015,53000000,62575678,36262194,Dramatization,Live Action,Drama
1593,Crimson Peak,2015,55000000,31090320,43876534,Contemporary Fiction,Live Action,Horror
1594,Zhuo yao ji,2015,56000000,32766,359462825,Fantasy,Live Action,Adventure
1595,Deadpool,2015,58000000,363070709,437954884,Super Hero,Live Action,Action
1596,Goosebumps,2015,58000000,80069458,78835866,Fantasy,Animation/Live Action,Horror
1597,Mortdecai,2015,60000000,7696134,22700000,Contemporary Fiction,Live Action,Adventure
1598,Joy,2015,60000000,56451232,44682827,Dramatization,Live Action,Drama
1599,Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,2015,60000000,709982,193348521,Fantasy,Live Action,Action
1600,London Has Fallen,2015,60000000,62524260,132669825,Contemporary Fiction,Live Action,Action
1601,Maze Runner: The Scorch Trials,2015,61000000,81697192,228868970,Science Fiction,Live Action,Thriller/Suspense
1602,The Hateful Eight,2015,62000000,54117416,93747470,Historical Fiction,Live Action,Western
1603,Everest,2015,65000000,43482270,177814791,Dramatization,Live Action,Thriller/Suspense
1604,Tian jiang xiong shi,2015,65000000,74070,122445804,Historical Fiction,Live Action,Action
1605,Live by Night,2015,65000000,10378555,11395877,Historical Fiction,Live Action,Drama
1606,Focus,2015,65000000,53862963,114202737,Contemporary Fiction,Live Action,Romantic Comedy
1607,The Angry Birds Movie,2015,73000000,107509366,244818521,Kids Fiction,Digital Animation,Adventure
1608,The Secret Life of Pets,2015,75000000,368384330,518383092,Kids Fiction,Digital Animation,Adventure
1609,The Man From U.N.C.L.E.,2015,75000000,45445109,59504475,Historical Fiction,Live Action,Action
1610,The Little Prince,2015,77500000,1311213,100717706,Kids Fiction,Digital Animation,Adventure
1611,The Last Witch Hunter,2015,80000000,27367660,103451252,Fantasy,Live Action,Action
1612,Hotel Transylvania 2,2015,80000000,169700110,299800188,Kids Fiction,Digital Animation,Adventure
1613,Ben-Hur,2015,95000000,26410477,65259171,Historical Fiction,Live Action,Drama
1614,The Peanuts Movie,2015,99000000,130178411,119913199,Kids Fiction,Digital Animation,Adventure
1615,Point Break,2015,100000000,28782481,97922110,Contemporary Fiction,Live Action,Action
1616,The Martian,2015,108000000,228433663,426837780,Science Fiction,Live Action,Thriller/Suspense
1617,The Divergent Series: Allegiant,2015,110000000,66184051,105838466,Science Fiction,Live Action,Action
1618,The Huntsman: Winter’s War,2015,115000000,48003015,117146287,Fantasy,Live Action,Action
1619,Fantastic Four,2015,120000000,56117548,111731639,Super Hero,Live Action,Action
1620,Monster Trucks,2015,125000000,33370166,28272632,Science Fiction,Animation/Live Action,Adventure
1621,Ant-Man,2015,130000000,180202163,338656286,Super Hero,Live Action,Action
1622,The Revenant,2015,135000000,183637894,349300408,Dramatization,Live Action,Adventure
1623,Teenage Mutant Ninja Turtles: Out of the Shadows,2015,135000000,82051601,163276773,Super Hero,Animation/Live Action,Adventure
1624,Kung Fu Panda 3,2015,140000000,143528619,374070523,Kids Fiction,Digital Animation,Adventure
1625,Gods of Egypt,2015,140000000,31153464,107683292,Fantasy,Live Action,Adventure
1626,Mission: Impossible—Rogue Nation,2015,150000000,195042377,493816615,Contemporary Fiction,Live Action,Action
1627,Zootopia,2015,150000000,341268248,678436100,Kids Fiction,Digital Animation,Adventure
1628,Pan,2015,150000000,35088320,116437653,Fantasy,Live Action,Adventure
1629,Terminator: Genisys,2015,155000000,89760956,342389938,Science Fiction,Live Action,Action
1630,Deepwater Horizon,2015,156000000,61433527,61170297,Dramatization,Live Action,Drama
1631,Warcraft,2015,160000000,47225655,378296626,Fantasy,Live Action,Action
1632,The Hunger Games: Mockingjay - Part 2,2015,160000000,281723902,367262885,Science Fiction,Live Action,Thriller/Suspense
1633,Independence Day: Resurgence,2015,165000000,103144286,281025138,Science Fiction,Live Action,Action
1634,The Jungle Book,2015,175000000,364001123,598853424,Fantasy,Animation/Live Action,Adventure
1635,X-Men: Apocalypse,2015,178000000,155442489,387095057,Super Hero,Live Action,Action
1636,The Legend of Tarzan,2015,180000000,126643061,222258964,Historical Fiction,Live Action,Adventure
1637,Finding Dory,2015,200000000,486295561,534919632,Kids Fiction,Digital Animation,Adventure
1638,Batman v Superman: Dawn of Justice,2015,250000000,330360194,537140087,Super Hero,Live Action,Action
1639,Captain America: Civil War,2015,250000000,408084349,731985064,Super Hero,Live Action,Action
1640,Spectre,2015,300000000,200074175,679546748,Contemporary Fiction,Live Action,Action
1641,Star Wars Ep. VII: The Force Awakens,2015,306000000,936662225,1116648995,Science Fiction,Animation/Live Action,Adventure
1642,Kevin Hart: What Now?,2016,10000000,23591043,0,Factual,Live Action,Concert/Performance
1643,Kicks,2016,10000000,150191,0,Contemporary Fiction,Live Action,Adventure
1644,Don’t Breathe,2016,10000000,89217875,69755810,Contemporary Fiction,Live Action,Horror
1645,Max Steel,2016,10000000,3818664,744416,Science Fiction,Live Action,Action
1646,Blair Witch,2016,10000000,20777061,18208516,Contemporary Fiction,Live Action,Horror
1647,The Purge: Election Year,2016,10000000,79042440,39472287,Science Fiction,Live Action,Horror
1648,Churchill,2016,10000000,1279681,6302515,Dramatization,Live Action,Drama
1649,The Birth of a Nation,2016,10000000,15861566,1029445,Dramatization,Live Action,Drama
1650,Gotti,2016,10000000,4286367,1802733,Dramatization,Live Action,Drama
1651,Denial,2016,10000000,4073448,5190492,Dramatization,Live Action,Drama
1652,How to Be a Latin Lover,2016,10000000,32149404,30406824,Contemporary Fiction,Live Action,Comedy
1653,Sultan,2016,11000000,5599781,67390000,Contemporary Fiction,Live Action,Action
1654,Unforgettable,2016,12000000,11368012,4853199,Contemporary Fiction,Live Action,Thriller/Suspense
1655,Wish Upon,2016,12000000,14301505,9175840,Contemporary Fiction,Live Action,Horror
1656,Hell or High Water,2016,12000000,27007844,10576460,Contemporary Fiction,Live Action,Western
1657,Operation Chromite,2016,12700000,1022720,48173812,Historical Fiction,Live Action,Action
1658,The Shallows,2016,13000000,55121623,63641819,Contemporary Fiction,Live Action,Drama
1659,The Founder,2016,15000000,12786053,11617139,Dramatization,Live Action,Drama
1660,Keanu,2016,15000000,20591853,96288,Contemporary Fiction,Live Action,Comedy
1661,Annabelle: Creation,2016,15000000,102092201,203292664,Contemporary Fiction,Live Action,Horror
1662,Home Again,2016,15000000,27020284,10316590,Contemporary Fiction,Live Action,Romantic Comedy
1663,Almost Christmas,2016,17000000,42065185,428321,Contemporary Fiction,Live Action,Drama
1664,The Circle,2016,18000000,20497844,20154020,Science Fiction,Live Action,Thriller/Suspense
1665,Miss Sloane,2016,18000000,3500605,4219025,Contemporary Fiction,Live Action,Drama
1666,T2: Trainspotting,2016,18000000,2402004,39689258,Contemporary Fiction,Live Action,Drama
1667,I Am Wrath,2016,18000000,0,309608,Contemporary Fiction,Live Action,Action
1668,Sausage Party,2016,19000000,97670358,43673897,Fantasy,Digital Animation,Comedy
1669,La La Land,2016,20000000,151101803,275581874,Contemporary Fiction,Live Action,Musical
1670,Ratchet and Clank,2016,20000000,8813410,5552229,Kids Fiction,Digital Animation,Adventure
1671,LBJ,2016,20000000,2468683,38498,Dramatization,Live Action,Drama
1672,Wonder,2016,20000000,132422809,172181772,Dramatization,Live Action,Drama
1673,Bad Moms,2016,20000000,113257297,67741419,Contemporary Fiction,Live Action,Comedy
1674,Rough Night,2016,20000000,22105643,24738714,Contemporary Fiction,Live Action,Black Comedy
1675,Nerve,2016,20000000,38583626,32068658,Contemporary Fiction,Live Action,Thriller/Suspense
1676,Tyler Perry’s Boo! A Madea Halloween,2016,20000000,73206343,0,Contemporary Fiction,Live Action,Comedy
1677,The Zookeeper’s Wife,2016,20000000,17445186,8863563,Dramatization,Live Action,Drama
1678,The History of Love,2016,20000000,0,476624,Historical Fiction,Live Action,Drama
1679,Popstar: Never Stop Never Stopping,2016,20000000,9496130,40990,Contemporary Fiction,Live Action,Comedy
1680,Diary of a Wimpy Kid: The Long Haul,2016,22000000,20738724,14870853,Contemporary Fiction,Live Action,Adventure
1681,Nocturnal Animals,2016,22500000,10663357,21735324,Contemporary Fiction,Live Action,Thriller/Suspense
1682,Going in Style,2016,24000000,45018541,33654038,Contemporary Fiction,Live Action,Comedy
1683,Fences,2016,24000000,57682904,6599977,Historical Fiction,Live Action,Drama
1684,A Dog’s Purpose,2016,25000000,64321890,139349735,Contemporary Fiction,Live Action,Drama
1685,Hidden Figures,2016,25000000,169607287,62164429,Dramatization,Live Action,Drama
1686,CHiPS,2016,25000000,18600152,4590140,Contemporary Fiction,Live Action,Action
1687,Fist Fight,2016,25000000,32187017,8099399,Contemporary Fiction,Live Action,Comedy
1688,Father Figures,2016,25000000,17501244,3537197,Contemporary Fiction,Live Action,Comedy
1689,Mother’s Day,2016,25000000,32492859,19874163,Contemporary Fiction,Live Action,Romantic Comedy
1690,Rings,2016,25000000,27793018,55124265,Contemporary Fiction,Live Action,Horror
1691,Rules Don’t Apply,2016,26700000,3652206,219242,Historical Fiction,Live Action,Romantic Comedy
1692,Money Monster,2016,27000000,41012075,52454020,Contemporary Fiction,Live Action,Thriller/Suspense
1693,Florence Foster Jenkins,2016,29000000,27383770,28616569,Dramatization,Live Action,Drama
1694,Ballerina,2016,30000000,21858070,75048370,Kids Fiction,Digital Animation,Adventure
1695,The Lost City of Z,2016,30000000,8574339,8547484,Dramatization,Live Action,Action
1696,Baahubali 2: The Conclusion,2016,30000000,18985794,244517120,Historical Fiction,Live Action,Action
1697,Bilal: A New Breed of Hero,2016,30000000,490973,157626,Dramatization,Digital Animation,Adventure
1698,The Space Between Us,2016,30000000,7885294,8596111,Science Fiction,Live Action,Drama
1699,Birth of the Dragon,2016,31000000,6901965,318525,Historical Fiction,Live Action,Action
1700,Mike and Dave Need Wedding Dates,2016,33000000,46009673,29888427,Contemporary Fiction,Live Action,Comedy
1701,Whiskey Tango Foxtrot,2016,35000000,23083334,2267413,Dramatization,Live Action,Comedy
1702,Bridget Jones’s Baby,2016,35000000,24139805,181682883,Contemporary Fiction,Live Action,Romantic Comedy
1703,Neighbors 2: Sorority Rising,2016,35000000,55340730,53416891,Contemporary Fiction,Live Action,Comedy
1704,Underworld: Blood Wars,2016,35000000,30353973,50855249,Fantasy,Live Action,Action
1705,Why Him?,2016,38000000,60323786,57101370,Contemporary Fiction,Live Action,Comedy
1706,USS Indianapolis: Men of Courage,2016,40000000,0,1663785,Dramatization,Live Action,Drama
1707,John Wick: Chapter Two,2016,40000000,92029184,79320825,Contemporary Fiction,Live Action,Action
1708,Patriots Day,2016,40000000,31886361,20951628,Dramatization,Live Action,Thriller/Suspense
1709,Hacksaw Ridge,2016,40000000,67209615,101695067,Dramatization,Live Action,Drama
1710,The House,2016,40000000,25584504,5607921,Contemporary Fiction,Live Action,Comedy
1711,Mechanic: Resurrection,2016,40000000,21218403,88520437,Contemporary Fiction,Live Action,Action
1712,Ride Along 2,2016,40000000,90862685,33964631,Contemporary Fiction,Live Action,Comedy
1713,The Nut Job 2: Nutty by Nature,2016,40000000,28370522,29067867,Kids Fiction,Digital Animation,Adventure
1714,Resident Evil: The Final Chapter,2016,40000000,26844692,287256498,Science Fiction,Live Action,Action
1715,The Commuter,2016,40000000,36343858,65641573,Contemporary Fiction,Live Action,Action
1716,A Monster Calls,2016,43000000,3740823,42673707,Fantasy,Live Action,Drama
1717,All Eyez on Me,2016,45000000,44922302,9954553,Dramatization,Live Action,Drama
1718,The Girl on the Train,2016,45000000,75395035,98883179,Contemporary Fiction,Live Action,Thriller/Suspense
1719,Office Christmas Party,2016,45000000,54767494,36555805,Contemporary Fiction,Live Action,Comedy
1720,Silence,2016,46500000,7100177,16626449,Historical Fiction,Live Action,Drama
1721,Arrival,2016,47000000,100546139,102581755,Science Fiction,Live Action,Drama
1722,The Infiltrator,2016,47500000,15436808,5281296,Dramatization,Live Action,Thriller/Suspense
1723,Central Intelligence,2016,50000000,127440871,89753934,Contemporary Fiction,Live Action,Comedy
1724,Fifty Shades Darker,2016,55000000,114434010,266940758,Contemporary Fiction,Live Action,Drama
1725,Kubo and the Two Strings,2016,55000000,48023088,29525034,Fantasy,Stop-Motion Animation,Adventure
1726,Life,2016,58000000,30234022,70695644,Science Fiction,Live Action,Thriller/Suspense
1727,Rock Dog,2016,60000000,9420546,14727942,Kids Fiction,Digital Animation,Adventure
1728,Sully,2016,60000000,125070033,113454523,Dramatization,Live Action,Drama
1729,Jack Reacher: Never Go Back,2016,60000000,58697076,101249413,Contemporary Fiction,Live Action,Action
1730,Smurfs: The Lost Village,2016,60000000,45020282,152558304,Kids Fiction,Digital Animation,Adventure
1731,Mei Ren Yu,2016,60720000,3229457,551287214,Science Fiction,Live Action,Romantic Comedy
